Device: mps
Dataset: 133160 samples, 20 classes, input shape per sample: (3, 32, 21)
Model: STGCNGestureNet-jumbo  |  trainable params: 51,773,842
/Users/rickeabati/Library/Python/3.12/lib/python/site-packages/torch/utils/data/dataloader.py:775: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  super().__init__(loader)
  epoch 020 [ 900/1665]  loss=0.6823
  epoch 020 [1000/1665]  loss=0.6822
  epoch 020 [1100/1665]  loss=0.6823
  epoch 020 [1200/1665]  loss=0.6816
  epoch 020 [1300/1665]  loss=0.6820
  epoch 020 [1400/1665]  loss=0.6818
  epoch 020 [1500/1665]  loss=0.6818
  epoch 020 [1600/1665]  loss=0.6815
epoch 020 | train_loss=0.6814 | val_loss=0.2881 | val_acc=0.9393 | val_f1=0.9226 | lr=8.29e-04
  epoch 021 [ 100/1665]  loss=0.6774
  epoch 021 [ 200/1665]  loss=0.6767
  epoch 021 [ 300/1665]  loss=0.6797
  epoch 021 [ 400/1665]  loss=0.6799
  epoch 021 [ 500/1665]  loss=0.6796
  epoch 021 [ 600/1665]  loss=0.6788
  epoch 021 [ 700/1665]  loss=0.6792
  epoch 021 [ 800/1665]  loss=0.6793
  epoch 021 [ 900/1665]  loss=0.6799
  epoch 021 [1000/1665]  loss=0.6795
  epoch 021 [1100/1665]  loss=0.6798
  epoch 021 [1200/1665]  loss=0.6799
  epoch 021 [1300/1665]  loss=0.6799
  epoch 021 [1400/1665]  loss=0.6800
  epoch 021 [1500/1665]  loss=0.6799
  epoch 021 [1600/1665]  loss=0.6799
